"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback from Users by Type - unlike_page_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - report_spam_clicks","Lifetime Negative Feedback by Type - unlike_page_clicks"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users)","Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,,,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",,,
110764313093221_261933241309660,https://www.facebook.com/jowradio/posts/261933241309660,"واش رايكم في قائمة الخضر المعنية بكأس امم إفريقيا.
باش تشاركو معانا من 23سا حتى 01سا تاع الصباح اتصلوا على 0982218281
اسمعونا على :www.jow.radio
#Branchiwjow",Photo,,,"05/30/2019 11:05:07 AM"," ",2689,2689,0,3906,3906,0,158,113,123,0,0,2984,2025,0,0,124,0,0,0,0,0,0,0,0,0,0,48,20,,48,27,,100,9,6,,108,9,6,,,,,,,,,
110764313093221_261930774643240,https://www.facebook.com/jowradio/posts/261930774643240,"اليوم رايحا تتروبل في استوديو بالون لأن أنصار اتحاد العاصمة المتوج مؤخرا, رايحين يكونو معانا من 23سا حتى 01سا تاع الصباح.
باش تشاركو معانا اتصلوا على 0982218281.
اسمعونا على : www.jow.radio
#Branchiwjow",Photo,,,"05/30/2019 11:00:46 AM"," ",7178,7178,0,9829,9829,0,323,228,289,3,3,7503,5691,0,0,244,0,0,0,0,0,0,0,0,0,0,120,18,2,123,50,2,174,38,22,,229,38,22,,2,1,,,2,1,,
110764313093221_261929677976683,https://www.facebook.com/jowradio/posts/261929677976683,"ضيفنا اليوم في بالون هو اللاعب الدولي الجزائري أمير قراوي
كونو في الموعد من 23سا حتى 01سا تاع الصباح و باش تشاركو معانا اتصلوا على 0982218281.
اسمعونا على : www.jow.radio
#Branchiwjow",Photo,,,"05/30/2019 11:00:25 AM"," ",1550,1550,0,2134,2134,0,52,32,35,1,1,1547,1166,0,0,39,0,0,0,0,0,0,0,0,0,0,22,1,,22,1,,26,6,1,,28,6,1,,1,,,,1,,,
110764313093221_261638561339128,https://www.facebook.com/jowradio/posts/261638561339128,"دانيا إيدير طفلة صغيرة  لكن عندها كثر من 300 ألف معجب على الانستغرام  👧  ...شاهد كيفاش قدرت تجمع كل هذو المعجبين 🥰🥰",Video,,,"05/30/2019 10:20:00 AM"," ",6965,6965,0,9630,9630,0,502,466,644,0,0,7322,5336,0,0,327,182,186,0,0,2652,2760,0,0,15649,121662,54,8,4,54,14,4,359,,,227,400,,,243,,,,,,,,
110764313093221_261635888006062,https://www.facebook.com/jowradio/posts/261635888006062,"أصغر مؤثرة  على الانستغرام  دنيا إيدير : &quot; راني حابا نولي ممثلة كبيرة &quot;",Video,,,"05/30/2019 09:30:00 AM"," ",5183,5183,0,6986,6986,0,422,385,493,0,0,5374,3900,0,0,246,277,277,0,0,1890,1988,0,0,9940,47785,42,10,3,46,16,3,245,,,224,258,,,234,,,,,,,,
110764313093221_261841144652203,https://www.facebook.com/jowradio/posts/261841144652203,"🏡🏭🏫  تعرف على تطبيق  &quot; نباتو Nbatou &quot;  اللي راح يحل مشكل المبيت خاصة في  فصل الصيف",Video,,,"05/30/2019 08:27:20 AM"," ",21978,21978,0,30654,30654,0,1378,1251,1784,2,2,22443,16136,0,0,932,139,143,0,0,7568,7826,0,0,15973,408531,239,27,20,255,39,21,1074,,,490,1262,,,522,1,,1,,1,,1,
110764313093221_261851077984543,https://www.facebook.com/jowradio/posts/261851077984543,"رايحا تكون معانا اليوم الممثلة souha chatsi oulha
 #MenGoalLelGoal 
كونو في الموعد من 16سا حتى 19سا ، باش تشاركو معانا عيطولنا على : 0982218281
اسمعونا على : www.jow.radio
#Branchiwjow",Photo,,,"05/30/2019 06:42:29 AM"," ",2803,2803,0,3823,3823,0,44,31,35,2,2,2945,2219,0,0,35,0,0,0,0,0,0,0,0,0,0,16,,,16,,,22,8,4,,23,8,4,,,2,,,,2,,
110764313093221_261625578007093,https://www.facebook.com/jowradio/posts/261625578007093,"رايح يكون معانا اليوم الفكاهي أمين راضي Amine Radi في حصة #MenGoalLelGoal 
كونو في الموعد من 16سا حتى 19سا ، باش تشاركو معانا عيطولنا على : 0982218281
اسمعونا على : www.jow.radio
#Branchiwjow #vadormirva",Photo,,,"05/30/2019 04:00:02 AM"," ",2366,2366,0,3307,3307,0,48,32,33,0,0,2567,1855,0,0,35,0,0,0,0,0,0,0,0,0,0,19,1,,19,1,,21,9,2,,22,9,2,,,,,,,,,
110764313093221_261670654669252,https://www.facebook.com/jowradio/posts/261670654669252,"🚨 دخل يوم الثلاثاء Harington Kit إلى مركز إعادة التأهيل بسبب تعاطي الكحول والإجهاد بعد نهاية سلسلة #GameOfThrones التي كانت وظيفته لمدة 10 سنوات.",Photo,,,"05/30/2019 03:00:37 AM"," ",12128,12128,0,18713,18713,0,603,529,578,1,1,15090,9840,0,0,508,0,0,0,0,0,0,0,0,0,0,98,27,,106,29,,380,163,,,411,167,,,,1,,,,1,,
