"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - answer","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - answer","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback from Users by Type - unlike_page_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - report_spam_clicks","Lifetime Negative Feedback by Type - unlike_page_clicks"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users)","Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,,,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",,,
110764313093221_337378203765163,https://www.facebook.com/jowradio/posts/337378203765163,"مناصر شباب بلوزداد : &quot;الموسم لي فات راح يبقى راسخ في أذهان الأنصار &quot;  ⚽🔴
اسمعونا على : www.jow.radio",Video,,,"10/30/2019 10:00:00 AM"," ",13597,13597,0,13977,13977,0,640,534,661,5,5,8561,8218,0,0,401,317,325,0,0,3982,4132,0,0,8009,75349,4,130,17,,4,145,26,,197,378,8,,204,449,8,,2,3,,,2,3,,
110764313093221_337142503788733,https://www.facebook.com/jowradio/posts/337142503788733,"شاهد سفيرة الأمم المتحدة زهرة حركات تتحدث عن مشاريعها",Video,,,"10/30/2019 04:00:01 AM"," ",31292,31292,0,33378,33378,0,2392,2124,2703,3,3,20337,18729,0,0,1303,72,72,0,0,11419,12118,0,0,17151,701717,2,345,13,,2,345,17,,1157,1292,,,1218,1485,,,2,1,,,2,1,,
110764313093221_337289167107400,https://www.facebook.com/jowradio/posts/337289167107400,"نور الدين سعدي : &quot;هذا هو رأيي في حسين آشيو &quot; ⚽
اسمعونا على : www.jow.radio",Video,,,"10/29/2019 01:13:08 PM"," ",13567,13567,0,14884,14884,0,569,483,615,3,3,9307,8520,0,0,403,309,315,0,0,3510,3736,0,0,11850,141354,1,115,3,,1,115,3,,146,391,8,,152,455,8,,2,1,,,2,1,,
110764313093221_338082200361430,https://www.facebook.com/jowradio/posts/338082200361430,"ضيف اليوم في حصتكم LDTH هو الفنان القدير بعزيز  😍
اسمعونا على : www.jow.radio
كل الثلاثاء: 21 سا ـ 00 سا #LDTH",Photo,,,"10/29/2019 01:01:48 PM"," ",11832,11832,0,12645,12645,0,259,179,215,1,1,8171,7711,0,0,199,0,0,0,0,0,0,0,0,0,0,,82,7,,,83,8,,,107,46,47,,121,47,47,,1,,,,1,,
110764313093221_338023273700656,https://www.facebook.com/jowradio/posts/338023273700656,"اسمعوا حكاية لامية 😮 لخسرت لكوبل ديالها علاجال حاجة ما تتصوروهاش 
 و نتوما عندكم سر ؟ أبعثولنا تسجيل صوتي فالواتساب تاع الحصة: 0770149543
#SerrekFiJow",Video,,,"10/29/2019 10:52:38 AM"," ",221234,221234,0,242802,242802,0,25148,22786,32179,62,62,95244,85814,0,0,9630,1815,1846,0,0,98889,104264,0,0,46398,728149,132,3543,276,,146,3811,328,,7568,18301,,,8128,24051,,,30,32,,,30,32,,
110764313093221_337987247037592,https://www.facebook.com/jowradio/posts/337987247037592,"خطيبها غارق فالمخدرات ، تكمل معاه أم لا؟ أسمعوا السر تاعها و أعطولنا رايكم
 و نتوما عندكم سر ؟ أبعثولنا تسجيل صوتي فالواتساب تاع الحصة: 0770149543
#SerrekFiJow",Video,,,"10/29/2019 09:38:46 AM"," ",50653,50653,0,54532,54532,0,3225,2946,3827,13,13,33279,30930,0,0,2025,585,585,0,0,16947,17635,0,0,23255,332436,7,438,55,,7,458,73,,861,2434,,,896,2931,,,6,7,,,6,7,,
110764313093221_337380670431583,https://www.facebook.com/jowradio/posts/337380670431583,"مناصر شباب بلوزداد : &quot;  مالازمش نحصلو في المدرب عبد القادر عمراني  &quot; ⚽😮
اسمعونا على : www.jow.radio",Video,,,"10/29/2019 05:00:00 AM"," ",40497,40497,0,43507,43507,0,1746,1571,2147,18,19,19175,17990,0,0,934,760,774,0,0,9365,9829,0,0,7009,77269,2,268,43,,2,272,72,,390,1456,6,,411,1730,6,,8,11,,,8,11,,
110764313093221_337364833766500,https://www.facebook.com/jowradio/posts/337364833766500,"شاهدوا قصة مستمعة  &quot;جو&quot; لي  عندها مشكل مع الأب ديالها .. اسمع حكايتها",Video,,,"10/29/2019 04:00:00 AM"," ",33677,33677,0,36972,36972,0,2184,1833,2481,8,8,20731,19115,0,0,1318,463,469,0,0,10297,10579,0,0,13609,142911,12,499,20,,12,523,25,,631,1623,,,659,1822,,,7,1,,,7,1,,
110764313093221_337146547121662,https://www.facebook.com/jowradio/posts/337146547121662,"شاهد آخر ابداعات  wil aime  ..",Video,,,"10/29/2019 03:30:00 AM"," ",27669,27669,0,30218,30218,0,1392,1249,1539,4,4,19871,18610,0,0,921,157,158,0,0,8332,8360,0,0,12155,265642,1,185,15,,1,192,18,,428,1003,,,442,1097,,,3,1,,,3,1,,
