"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - answer","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - answer","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - unlike_page_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - unlike_page_clicks","Lifetime Negative Feedback by Type - report_spam_clicks"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users)","Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,,,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",,,
110764313093221_406713493498300,https://www.facebook.com/jowradio/posts/406713493498300,"🔴 الصحفي الرياضي مصطفى معزوزي على المباشر
🔴 أسمعونا : www.jow.radio
#LDTH",Video,,,"02/11/2020 01:31:48 PM"," ",34467,34467,0,35201,35201,0,3050,2835,3564,5,5,23309,22928,0,0,2110,3360,3457,0,0,12816,13060,0,0,8681,25365,5,303,141,,5,310,199,,314,2641,169,,329,3064,171,,1,4,,,1,4,,
110764313093221_406695586833424,https://www.facebook.com/jowradio/posts/406695586833424,"الصحفي مصطفى معزوزي ضيف LDTH دوكا على جو راديو! اسمعونا على: www.jow.radio",Photo,,,"02/11/2020 12:41:42 PM"," ",39669,39669,0,40338,40338,0,1723,1493,1720,6,6,26402,26212,0,0,1184,0,0,0,0,0,0,0,0,0,0,1,291,118,,1,292,138,,,773,534,306,,845,565,310,3,3,,,3,3,,
110764313093221_405690676933915,https://www.facebook.com/jowradio/posts/405690676933915,"🔴 أكتشفوا قصة هاذ المستمعة، اللي بعد فشل غرامي ...
🔴 و نتوما عندكم سر ؟ أبعثولنا تسجيل صوتي فالواتساب تاع الحصة: 0770149543
____________
🔴 تبعوا الحصة كل يوم جمعة : 23سا ـ 01:00سا
#SERREKFIJOW",Video,,,"02/10/2020 01:00:00 PM"," ",80260,80260,0,81605,81605,0,4451,4090,5062,20,21,48436,47108,0,0,2542,583,592,0,0,23407,23511,0,0,25940,628074,13,513,57,,14,537,61,,464,3827,,,483,4579,,,16,5,,,16,5,,
110764313093221_405677216935261,https://www.facebook.com/jowradio/posts/405677216935261,"🔴 هاذي حكاية محمد مع الكبش ديالو ! 
🔴 و نتوما عندكم سر ؟ أبعثولنا تسجيل صوتي فالواتساب تاع الحصة: 0770149543
__________
🔴 تبعوا الحصة كل يوم جمعة : 23سا ـ 01:00سا
#SERREKFIJOW",Video,,,"02/09/2020 01:00:00 PM"," ",47898,47898,0,49340,49340,0,1823,1610,2035,4,4,27559,26458,0,0,1056,229,229,0,0,13237,13857,0,0,14061,461482,7,284,14,,7,305,18,,377,1412,1,,395,1639,1,,3,1,,,3,1,,
110764313093221_404903273679322,https://www.facebook.com/jowradio/posts/404903273679322,"حين اختلط الدم الجزائري بالدم التونسي .... في مثل هذا اليوم، السبت 08 فيفري 1958 قصف الطيران الفرنسي قرية سيدي يوسف التونسية مخلفا استشهاد 79 مدنيا من بينهم 20 طفلا و11 إمرأة  ..

رحم الله الشهداء",Video,,,"02/08/2020 02:38:21 AM"," ",23146,23146,0,25479,25479,0,1121,878,981,4,4,13881,12972,0,0,631,373,375,0,0,3927,4081,0,0,11051,76671,76,256,18,,101,264,26,,299,620,,,314,667,,,2,2,,,2,2,,
110764313093221_404643250371991,https://www.facebook.com/jowradio/posts/404643250371991,"Retrouvez a partir de 23h sur youtube l'interview complète de ANAS sur JOW radio avec la présence de RANDALL",Video,,,"02/07/2020 01:28:40 PM"," ",14506,14506,0,16189,16189,0,656,556,706,4,4,8808,7747,0,0,352,355,355,0,0,3543,3830,0,0,4771,20842,1,108,,,1,112,,,299,355,,,309,397,,,2,2,,,2,2,,
110764313093221_404099223759727,https://www.facebook.com/jowradio/posts/404099223759727,"أكتشفوا كل الإرشادات الصحية لتفادي فيروس الكورونا مع الدكتور لخضر أمقران
___________________
#LDTH #JOW #RADIO",Video,,,"02/06/2020 02:00:01 PM"," ",41206,41206,0,43576,43576,0,1650,1362,1643,7,7,26085,24412,0,0,974,82,82,0,0,13477,13819,0,0,10786,695679,20,328,13,,43,359,14,,290,1185,,,301,1342,,,5,2,,,5,2,,
110764313093221_404092500427066,https://www.facebook.com/jowradio/posts/404092500427066,"تبعوا معانا شهادة أمير، أحد طلبة الدكتوراه في الصين😷
____________________
🔴 اسمعونا على : www.jow.radio
🔴 كل الثلاثاء: 21 سا ـ 00 سا #LDTH

#LDTH #JOW #RADIO #CORONA_VIRUS",Video,,,"02/06/2020 01:30:00 PM"," ",115915,115915,0,116974,116974,0,6751,6206,8575,19,20,70324,67818,0,0,4025,943,943,0,0,45712,46744,0,0,33879,982463,37,943,135,,38,991,273,,909,5831,74,,956,7540,74,,11,9,,,11,9,,
110764313093221_403821777120805,https://www.facebook.com/jowradio/posts/403821777120805,"في الذكرى الأولى لرحيله عز الدين الشلفي .. فنان الزوالية الذي سجن بسبب أغنية ... تعرف على سيرته في هذا الفيديو",Video,,,"02/06/2020 01:10:29 AM"," ",529382,529382,0,533056,533056,0,39927,29869,38571,32,32,47067,46238,0,0,3666,38840,38840,0,0,159481,159481,0,0,14611,81023,1127,12378,923,,1267,13610,997,,6675,28264,,,7193,31378,,,14,18,,,14,18,,
