Date,Lifetime Total Likes,Daily New Likes,Daily Unlikes,Daily Page Engaged Users,Weekly Page Engaged Users,28 Days Page Engaged Users,Daily Total Reach,Weekly Total Reach,28 Days Total Reach,Daily Organic Reach,Weekly Organic Reach,28 Days Organic Reach,Daily Paid Reach,Weekly Paid Reach,28 Days Paid Reach,Daily Viral Reach,Weekly Viral Reach,28 Days Viral Reach,Daily Total Impressions,Weekly Total Impressions,28 Days Total Impressions,Daily Organic impressions,Weekly Organic impressions,28 Days Organic impressions,Daily Paid Impressions,Weekly Paid Impressions,28 Days Paid Impressions,Daily Viral impressions,Weekly Viral impressions,28 Days Viral impressions,Daily Logged-in Page Views,Weekly Logged-in Page Views,Daily Logged-in Page Views,Weekly Logged-in Page Views,Daily Reach Of Page Posts,Weekly Reach Of Page Posts,28 Days Reach Of Page Posts,Daily Organic Reach of Page posts,Weekly Organic Reach of Page posts,28 Days Organic Reach of Page posts,Daily Paid Reach of Page posts,Weekly Paid Reach of Page posts,28 Days Paid Reach of Page posts,Daily Viral Reach Of Page Posts,Weekly Viral Reach Of Page Posts,28 Days Viral Reach Of Page Posts,Daily Total Impressions of your posts,Weekly Total Impressions of your posts,28 Days Total Impressions of your posts,Daily Organic impressions of your posts,Weekly Organic impressions of your posts,28 Days Organic impressions of your posts,Daily Paid impressions of your posts,Weekly Paid impressions of your posts,28 Days Paid impressions of your posts,Daily Viral Impressions Of Your Posts,Weekly Viral Impressions Of Your Posts,28 Days Viral Impressions Of Your Posts,Daily Total Consumers,Weekly Total Consumers,28 Days Total Consumers,Daily Page Consumptions,Weekly Page Consumptions,28 Days Page Consumptions,Daily Negative Feedback,Weekly Negative Feedback,28 Days Negative Feedback,Daily Negative Feedback From Users,Weekly Negative Feedback From Users,28 Days Negative Feedback From Users,Daily Total Check-Ins,Weekly Total Check-Ins,28 Days Total Check-Ins,Daily Total Check-Ins,Weekly Total Check-Ins,28 Days Total Check-Ins,Daily Total Check-Ins Using Mobile Devices,Weekly Total Check-Ins Using Mobile Devices,28 Days Total Check-Ins Using Mobile Devices,Daily Total Check-Ins Using Mobile Devices,Weekly Total Check-Ins Using Mobile Devices,28 Days Total Check-Ins Using Mobile Devices,Daily Total Organic Views,Weekly Total Organic Views,28 Days Total Organic Views,Daily Total Promoted Views,Weekly Total Promoted Views,28 Days Total Promoted Views,Daily Total Organic 30-Second Views,Weekly Total Organic 30-Second Views,28 Days Total Organic 30-Second Views,Daily Paid 30-Second Views,Weekly Paid 30-Second Views,28 Days Paid 30-Second Views,Daily Total Video Views,Weekly Total Video Views,28 Days Total Video Views,Daily Total Auto-Played Views,Weekly Total Auto-Played Views,28 Days Total Auto-Played Views,Daily Total Clicked Views,Weekly Total Clicked Views,28 Days Total Clicked Views,Daily Video Repeats,Weekly Video Repeats,28 Days Video Repeats,Daily Total Unique Video Views,Weekly Total Unique Video Views,28 Days Total Unique Video Views,Daily Total 30-Second Views,Weekly Total 30-Second Views,28 Days Total 30-Second Views,Daily Auto-Played 30-Second Views,Weekly Auto-Played 30-Second Views,28 Days Auto-Played 30-Second Views,Daily Total Clicked 30-Second Views,Weekly Total Clicked 30-Second Views,28 Days Total Clicked 30-Second Views,Daily Total 30-Second Repeats,Weekly Total 30-Second Repeats,28 Days Total 30-Second Repeats,Daily Total Unique 30-Second Views,Weekly Total Unique 30-Second Views,28 Days Total Unique 30-Second Views,Daily Total: total action count per Page,Weekly Total: total action count per Page,Daily Total get direction click count per Page,Weekly Total get direction click count per Page,Daily Total get direction click count per Page,Weekly Total get direction click count per Page,Daily Total phone calls click count per Page,Weekly Total phone calls click count per Page,Daily Total phone calls click count per Page,Weekly Total phone calls click count per Page,Daily Total website click count per Page,Weekly Total website click count per Page,Daily Total website click count per Page,Weekly Total website click count per Page
,Lifetime: The total number of people who have liked your Page. (Unique Users),Daily: The number of new people who have liked your Page (Unique Users),Daily: The number of Unlikes of your Page (Unique Users),Daily: The number of people who engaged with your Page. Engagement includes any click or story created. (Unique Users),Weekly: The number of people who engaged with your Page. Engagement includes any click or story created. (Unique Users),28 Days: The number of people who engaged with your Page. Engagement includes any click or story created. (Unique Users),"Daily: The number of people who had any content from your Page or about your Page enter their screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more. (Unique Users)","Weekly: The number of people who had any content from your Page or about your Page enter their screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more. (Unique Users)","28 Days: The number of people who had any content from your Page or about your Page enter their screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more. (Unique Users)","Daily: The number of people who had any content from your Page or about your Page enter their screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more. (Unique Users)","Weekly: The number of people who had any content from your Page or about your Page enter their screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more. (Unique Users)","28 Days: The number of people who had any content from your Page or about your Page enter their screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more. (Unique Users)",Daily: The number of people who had any content from your Page or about your Page enter their screen through paid distribution such as an ad. (Unique Users),Weekly: The number of people who had any content from your Page or about your Page enter their screen through paid distribution such as an ad. (Unique Users),28 Days: The number of people who had any content from your Page or about your Page enter their screen through paid distribution such as an ad. (Unique Users),"Daily:  The number of people who had any content from your Page or about your Page enter their screen through with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with your Page, post or story. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","Weekly:  The number of people who had any content from your Page or about your Page enter their screen through with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with your Page, post or story. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","28 Days:  The number of people who had any content from your Page or about your Page enter their screen through with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with your Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","Daily: The number of times any content from your Page or about your Page entered a person's screen. This includes posts, stories, check-ins, ads, social information from people who interact with your Page and more. (Total Count)","Weekly: The number of times any content from your Page or about your Page entered a person's screen. This includes posts, stories, check-ins, ads, social information from people who interact with your Page and more. (Total Count)","28 Days: The number of times any content from your Page or about your Page entered a person's screen. This includes posts, stories, check-ins, ads, social information from people who interact with your Page and more. (Total Count)","Daily: The number of times any content from your Page or about your Page entered a person's screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more. (Total Count)","Weekly: The number of times any content from your Page or about your Page entered a person's screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more. (Total Count)","28 Days: The number of times any content from your Page or about your Page entered a person's screen through unpaid distribution. This includes posts, stories, check-ins, social information from people who interact with your Page and more. (Total Count)",Daily: The number of times any content from your Page or about your Page entered a person's screen through paid distribution such as an ad. (Total Count),Weekly: The number of times any content from your Page or about your Page entered a person's screen through paid distribution such as an ad. (Total Count),28 Days: The number of times any content from your Page or about your Page entered a person's screen through paid distribution such as an ad. (Total Count),"Daily: The number of times any content from your Page or about your Page entered a person's screen with social information attached. Social information displays when a person's friend interacted with your Page, post or story. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)","Weekly: The number of times any content from your Page or about your Page entered a person's screen with social information attached. Social information displays when a person's friend interacted with your Page, post or story. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)","28 Days: The number of times any content from your Page or about your Page entered a person's screen with social information attached. Social information displays when a person's friend interacted with your Page, post or story. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)",Daily: Page Views from users logged into Facebook (Total Count),Weekly: Page Views from users logged into Facebook (Total Count),Daily: Page Views from users logged into Facebook (Unique Users),Weekly: Page Views from users logged into Facebook (Unique Users),"Daily: The number of people who had any of your Page's posts enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Weekly: The number of people who had any of your Page's posts enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","28 Days: The number of people who had any of your Page's posts enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Daily: The number of people who had any of your Page's posts enter their screen through unpaid distribution. (Unique Users),Weekly: The number of people who had any of your Page's posts enter their screen through unpaid distribution. (Unique Users),28 Days: The number of people who had any of your Page's posts enter their screen through unpaid distribution. (Unique Users),Daily: The number of people who had any of your Page's posts enter their screen through paid distribution such as an ad. (Unique Users),Weekly: The number of people who had any of your Page's posts enter their screen through paid distribution such as an ad. (Unique Users),28 Days: The number of people who had any of your Page's posts enter their screen through paid distribution such as an ad. (Unique Users),"Daily: The number of people who had any of your Page's posts enter their screen with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","Weekly: The number of people who had any of your Page's posts enter their screen with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","28 Days: The number of people who had any of your Page's posts enter their screen with social information attached. As a form of organic distribution, social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Unique Users)","Daily: The number of times your Page's posts entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Weekly: The number of times your Page's posts entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","28 Days: The number of times your Page's posts entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Daily: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Weekly: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),28 Days: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Daily: The number of times your Page's posts entered a person's screen through paid distribution such as an ad. (Total Count),Weekly: The number of times your Page's posts entered a person's screen through paid distribution such as an ad. (Total Count),28 Days: The number of times your Page's posts entered a person's screen through paid distribution such as an ad. (Total Count),"Daily: The number of times your Page's posts entered a person's screen with social information attached. Social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)","Weekly: The number of times your Page's posts entered a person's screen with social information attached. Social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)","28 Days: The number of times your Page's posts entered a person's screen with social information attached. Social information displays when a person's friend interacted with you Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks into your Page. (Total Count)","Daily: The number of people who clicked on any of your content. Stories that are created without clicking on Page content (ex, liking the Page from timeline) are not included. (Unique Users)","Weekly: The number of people who clicked on any of your content. Stories that are created without clicking on Page content (ex, liking the Page from timeline) are not included. (Unique Users)","28 Days: The number of people who clicked on any of your content. Stories that are created without clicking on Page content (ex, liking the Page from timeline) are not included. (Unique Users)","Daily: The number of clicks on any of your content. Stories generated without clicks on page content (e.g., liking the page in Timeline) are not included. (Total Count)","Weekly: The number of clicks on any of your content. Stories generated without clicks on page content (e.g., liking the page in Timeline) are not included. (Total Count)","28 Days: The number of clicks on any of your content. Stories generated without clicks on page content (e.g., liking the page in Timeline) are not included. (Total Count)",Daily: The number of people who have given negative feedback to your Page. (Unique Users),Weekly: The number of people who have given negative feedback to your Page. (Unique Users),28 Days: The number of people who have given negative feedback to your Page. (Unique Users),Daily: The number of times people have given negative feedback to your Page. (Total Count),Weekly: The number of times people have given negative feedback to your Page. (Total Count),28 Days: The number of times people have given negative feedback to your Page. (Total Count),Daily: Total check-ins at your Place (Total Count),Weekly: Total check-ins at your Place (Total Count),28 Days: Total check-ins at your Place (Total Count),Daily: Total check-ins at your Place (Unique Users),Weekly: Total check-ins at your Place (Unique Users),28 Days: Total check-ins at your Place (Unique Users),Daily: Total check-ins at your Place using mobile devices (Total Count),Weekly: Total check-ins at your Place using mobile devices (Total Count),28 Days: Total check-ins at your Place using mobile devices (Total Count),Daily: Total check-ins at your Place using mobile devices (Unique Users),Weekly: Total check-ins at your Place using mobile devices (Unique Users),28 Days: Total check-ins at your Place using mobile devices (Unique Users),Daily: Number of times a video has been viewed due to organic reach (Total Count),Weekly: Number of times a video has been viewed due to organic reach (Total Count),28 Days: Number of times a video has been viewed due to organic reach (Total Count),Daily: Number of times a promoted video has been viewed for more than 3 seconds (Total Count),Weekly: Number of times a promoted video has been viewed for more than 3 seconds (Total Count),28 Days: Number of times a promoted video has been viewed for more than 3 seconds (Total Count),Daily: Number of times the video has been viewed for at least 30s by organic reach (Total Count),Weekly: Number of times the video has been viewed for at least 30s by organic reach (Total Count),28 Days: Number of times the video has been viewed for at least 30s by organic reach (Total Count),"Daily: Number of times page's videos was viewed for 30 seconds or viewed to the end, whichever came first, after a paid promotion. (Total Count)","Weekly: Number of times page's videos was viewed for 30 seconds or viewed to the end, whichever came first, after a paid promotion. (Total Count)","28 Days: Number of times page's videos was viewed for 30 seconds or viewed to the end, whichever came first, after a paid promotion. (Total Count)",Daily: Total number of times videos have been viewed for more than 3 seconds. (Total Count),Weekly: Total number of times videos have been viewed for more than 3 seconds. (Total Count),28 Days: Total number of times videos have been viewed for more than 3 seconds. (Total Count),Daily: Number of times an auto-played video has been viewed for more than 3 seconds (Total Count),Weekly: Number of times an auto-played video has been viewed for more than 3 seconds (Total Count),28 Days: Number of times an auto-played video has been viewed for more than 3 seconds (Total Count),Daily: Number of times a video has been viewed after the user clicked play (Total Count),Weekly: Number of times a video has been viewed after the user clicked play (Total Count),28 Days: Number of times a video has been viewed after the user clicked play (Total Count),Daily: Number of times the video has been seen outside the first play (Total Count),Weekly: Number of times the video has been seen outside the first play (Total Count),28 Days: Number of times the video has been seen outside the first play (Total Count),Daily: Metric showing videos played for unique people for more than 3 seconds aggregated at the page level (Unique Users),Weekly: Metric showing video played for unique people for more than 3 seconds aggregated at the page level (Unique Users),28 Days: Metric showing video played for unique people for more than 3 seconds aggregated at the page level (Unique Users),Daily: Total number of times page's videos was viewed for at least 30 seconds. (Total Count),Weekly: Total number of times page's videos was viewed for at least 30 seconds. (Total Count),28 Days: Total number of times page's videos was viewed for at least 30 seconds. (Total Count),"Daily: Number of times your page's videos started automatically playing and people viewed it for 30 seconds or to the end, whichever came first. (Total Count)","Weekly: Number of times your page's videos started automatically playing and people viewed it for 30 seconds or to the end, whichever came first. (Total Count)","28 Days: Number of times your page's videos started automatically playing and people viewed it for 30 seconds or to the end, whichever came first. (Total Count)",Daily: Number of times a video has been viewed for at least 30s after the user clicked play (Total Count),Weekly: Number of times a video has been viewed for at least 30s after the user clicked play (Total Count),28 Days: Number of times a video has been viewed for at least 30s after the user clicked play (Total Count),Daily: Number of times a video has been viewed for at least 30s outside the first play (Total Count),Weekly: Number of times a video has been viewed for at least 30s outside the first play (Total Count),28 Days: Number of times a video has been viewed for at least 30s outside the first play (Total Count),Daily: Metric showing videos played for unique people for at least 30 seconds aggregated at the page level (Unique Users),Weekly: Metric showing videos played for unique people for at least 30 seconds aggregated at the page level (Unique Users),28 Days: Metric showing videos played for unique people for at least 30 seconds aggregated at the page level (Unique Users),Daily: The number of clicks on your Page's contact info and call-to-action button.,Weekly: The number of clicks on your Page's contact info and call-to-action button.,Daily: Total get direction click count per Page,Weekly: Total get direction click count per Page,Daily: Total get direction click count per Page  (Unique Users),Weekly: Total get direction click count per Page (Unique Users),Daily: Total phone calls click count per Page,Weekly: Total phone calls click count per Page,Daily: Total phone calls click count per Page (Unique Users),Weekly: Total phone calls click count per Page (Unique Users),Daily: Total website click count per Page,Weekly: Total website click count per Page,Daily: Total website click count per Page (Unique Users),Weekly: Total website click count per Page (Unique Users)
10/31/19,387844,533,112,33597,323506,1435048,320138,2309314,7302922,319808,2309314,7274806,,,125045,29767,275518,1479428,507985,5186928,30994377,505060,5156633,30538751,,,245402,31761,325394,2344380,2925,30297,1441,13814,319808,2309314,7287916,319808,2309314,7274806,,,125045,29767,275175,1478016,504774,5154827,30781896,504774,5154827,30536494,,,245402,31475,323588,2342123,31196,303519,1355004,51416,514706,3272173,119,849,3720,126,938,4434,,,,,,,,,,,,,186723,1017769,9400338,,,,65246,367405,3660761,,,,186723,1017769,9400338,166826,905077,8280708,19897,112692,1119630,51948,366581,5657706,134775,651188,3742632,65246,367405,3660761,52318,294298,2890882,12928,73107,769879,16762,106257,1822662,48484,261148,1838099,21,172,,,,,,,,,3,15,2,14
11/1/19,388294,640,143,37091,282152,1306410,336644,2087852,6693687,336132,2087852,6657509,,,125045,30323,262554,1334487,526295,4626900,27939893,522891,4599709,27514815,,,245402,31045,298986,2034736,3404,27191,1644,12181,336132,2087852,6681077,336132,2087852,6657509,,,125045,30323,262331,1333338,522878,4597910,27757986,522878,4597910,27512584,,,245402,31032,297187,2032505,33657,263568,1221055,52659,455239,2891299,108,788,3654,118,883,4261,,,,,,,,,,,,,188686,995077,8334953,,,,67637,354736,3202164,,,,188686,995077,8334953,168416,886421,7357510,20270,108656,977443,53729,378524,4936507,134957,616553,3398446,67637,354736,3202164,54617,284812,2534255,13020,69924,667909,15751,103640,1539469,51886,251096,1662695,23,165,,,,,,,,,,12,,11
11/2/19,388611,490,124,32735,250677,1254712,293791,1900310,6400986,293346,1900310,6364623,,,125045,27720,240052,1230821,502112,4115532,26671369,499119,4090388,26258213,,,245402,29644,278323,1841822,2993,25144,1419,11034,293346,1900310,6389454,293346,1900310,6364623,,,125045,27692,239866,1229844,499107,4088848,26501401,499107,4088848,26255999,,,245402,29632,276783,1839608,30246,233202,1167407,49608,405545,2742261,92,703,3583,106,817,4182,,,,,,,,,,,,,182236,1177094,7913410,,,,64273,418950,3017578,,,,182236,1177094,7913410,163609,1049848,6997180,18627,127246,916230,59238,479877,4708800,122998,697217,3204610,64273,418950,3017578,52080,336844,2393417,12193,82106,624161,17454,132445,1415714,46819,286505,1601864,15,148,,,,,,,,,1,9,1,8
11/3/19,388873,426,113,29334,225015,1200988,270423,1679679,6226609,270423,1679679,6196842,,,116618,26431,219593,1158933,415927,3718287,25580797,413733,3695199,25200863,,,221079,27605,250373,1701815,2194,23088,1128,10238,270423,1679679,6215696,270423,1679679,6196842,,,116618,26416,219562,1158066,413721,3694105,25419749,413721,3694105,25198670,,,221079,27593,249279,1699622,27218,210015,1113468,39559,371689,2627972,99,667,3560,109,781,4144,,,,,,,,,,,,,140701,1315417,7573804,,,,50698,468907,2883153,,,,140701,1315417,7573804,126471,1174318,6705128,14230,141099,868676,32576,549558,4501799,108125,765859,3072005,50698,468907,2883153,41474,377792,2291698,9224,91115,591455,11040,159894,1351730,39658,309013,1531423,19,142,,,,,,,,,2,9,2,8
11/4/19,389114,459,142,31828,212473,1181406,280189,1538872,6069951,280189,1538872,6061967,,,95661,23696,199033,1093262,422408,3541480,24502353,419549,3518977,24193428,,,158487,24339,221986,1582749,2859,22503,1297,9885,280189,1538872,6065492,280189,1538872,6061967,,,95661,23661,198217,1092491,419526,3518478,24349726,419526,3518478,24191239,,,158487,24316,221487,1580560,28613,199321,1093614,43535,357214,2526471,90,682,3555,104,783,4044,,,,,,,,,,,,,157986,1276898,7267243,,,,59471,457419,2770466,,,,157986,1276898,7267243,141893,1143820,6438981,16093,133078,828262,39157,545140,4239086,118829,731758,3028157,59471,457419,2770466,48910,371256,2206618,10561,86163,563848,14244,155275,1287598,45227,302144,1482868,16,138,,,,,,,,,,9,,8
11/5/19,389375,451,142,30526,198616,1155464,268460,1461225,5985116,268366,1461225,5977353,,,64758,26942,184743,1058879,457087,3322141,23765730,454157,3301619,23534088,,,86574,28568,208439,1509007,2930,20522,1350,9054,268366,1461225,5980780,268366,1461225,5977353,,,64758,26942,184215,1058155,454145,3301211,23618492,454145,3301211,23531918,,,86574,28556,208031,1506837,28063,184829,1063950,45359,334317,2465249,97,679,3515,127,793,4008,,,,,,,,,,,,,170898,1206047,7083015,,,,66257,439037,2709256,,,,170898,1206047,7083015,154516,1080801,6279721,16382,125246,803294,58627,519892,4110969,112271,686155,2972046,66257,439037,2709256,55096,357350,2161837,11161,81687,547419,20205,160027,1268132,46052,279010,1441124,12,124,,,,,,,,,,8,,7
11/6/19,389663,469,127,29715,192018,1128487,301553,1468873,5951849,301435,1468873,5949168,,,16483,29211,183849,1052516,473044,3304858,23245568,470705,3285214,23087673,,,17944,30386,203348,1452569,2339,19644,1154,8688,301321,1468263,5950419,301321,1468263,5947740,,,16483,28905,183720,1051488,469849,3284000,23102616,469849,3284000,23084672,,,17944,29530,202134,1449568,27461,178244,1042173,44345,326481,2422194,62,646,3499,67,757,3921,,,,,,,,,,,,,174642,1201872,6978734,,,,64920,438502,2672119,,,,174642,1201872,6978734,157658,1079389,6192797,16984,122483,785937,51987,533663,4034794,122655,668209,2943940,64920,438502,2672119,53416,357911,2136084,11504,80591,536035,17940,160583,1228085,46980,277919,1444034,15,121,,,,,,,,,2,8,2,7
11/7/19,389944,455,118,26273,184704,1113794,232513,1431437,5925110,232234,1431437,5925110,,,,25415,178567,1028681,349877,3146750,22549155,347443,3127597,22413163,,,,25976,197563,1414412,2433,19152,1144,8442,231548,1430858,5923693,231548,1430858,5923693,,,,25217,178024,1027699,346287,3125513,22409024,346287,3125513,22409024,,,,25411,196070,1410864,23828,173801,1029298,38128,313193,2360808,70,600,3461,80,711,3855,,,,,,,,,,,,,136664,1151813,6809103,,,,50683,423939,2611974,,,,136664,1151813,6809103,121698,1034261,6043959,14966,117552,765144,40429,506573,3911397,96235,645240,2897706,50683,423939,2611974,40981,346574,2090515,9702,77365,521459,12146,153139,1187440,38537,270800,1424534,12,112,,,,,,,,,4,9,4,9
11/8/19,390279,522,143,25369,172332,1101101,226340,1368403,5873955,226076,1368403,5873955,,,,23901,177183,995553,365955,2986410,21879850,363218,2967924,21747914,,,,24551,191069,1353547,2737,18485,1367,8139,214517,1365009,5872562,214517,1365009,5872562,,,,23708,176573,994154,327350,2929985,21707918,327350,2929985,21707918,,,,24188,189226,1349647,23219,162577,1014777,36458,296992,2290755,49,542,3340,56,649,3797,,,,,,,,,,,,,139072,1102199,6644584,,,,54069,410371,2548357,,,,139072,1102199,6644584,124445,990290,5904154,14627,111909,740430,40725,494316,3743566,98347,607883,2901018,54069,410371,2548357,44525,336482,2044377,9544,73889,503980,13685,154989,1152677,40384,255382,1395680,19,108,,,,,,,,,4,13,3,11
