ds,y
2019-01-01,4459.0
2019-01-02,2772.0
2019-01-03,2758.0
2019-01-04,2219.0
2019-01-05,2405.0
2019-01-06,2223.0
2019-01-07,2136.0
2019-01-08,2112.0
2019-01-09,2138.0
2019-01-10,2316.0
2019-01-11,2191.0
2019-01-12,4430.0
2019-01-13,3743.0
2019-01-14,2779.0
2019-01-15,2644.0
2019-01-16,2525.0
2019-01-17,2890.0
2019-01-18,2390.0
2019-01-19,3706.0
2019-01-20,3306.0
2019-01-21,2752.0
2019-01-22,2378.0
2019-01-23,2308.0
2019-01-24,2601.0
2019-01-25,2084.0
2019-01-26,3831.0
2019-01-27,2851.0
2019-01-28,2512.0
2019-01-29,2447.0
2019-01-30,3101.0
2019-01-31,2576.0
2019-02-01,1988.0
2019-02-02,3199.0
2019-02-03,2554.0
2019-02-04,2162.0
2019-02-05,2210.0
2019-02-06,2454.0
2019-02-07,2162.0
2019-02-08,1804.0
2019-02-09,2329.0
2019-02-10,2271.0
2019-02-11,2075.0
2019-02-12,2638.0
2019-02-13,2245.0
2019-02-14,2003.0
2019-02-15,1516.0
2019-02-16,1626.0
2019-02-17,1742.0
2019-02-18,1726.0
2019-02-19,1719.0
2019-02-20,1638.0
2019-02-21,1749.0
2019-02-22,1368.0
2019-02-23,2502.0
2019-02-24,1877.0
2019-02-25,1616.0
2019-02-26,1496.0
2019-02-27,1447.0
2019-02-28,1498.0
2019-03-01,1000.0
2019-03-02,1398.0
2019-03-03,1163.0
2019-03-04,1230.0
2019-03-05,1289.0
2019-03-06,1257.0
2019-03-07,1302.0
2019-03-08,862.0
2019-03-09,1411.0
2019-03-10,1352.0
2019-03-11,1226.0
2019-03-12,1192.0
2019-03-13,1287.0
2019-03-14,1229.0
2019-03-15,835.0
2019-03-16,1342.0
2019-03-17,1301.0
2019-03-18,1255.0
2019-03-19,1219.0
2019-03-20,1290.0
2019-03-21,1223.0
2019-03-22,890.0
2019-03-23,1855.0
2019-03-24,2326.0
2019-03-25,1703.0
2019-03-26,1567.0
2019-03-27,1460.0
2019-03-28,1415.0
2019-03-29,1032.0
2019-03-30,1532.0
2019-03-31,1303.0
2019-04-01,1345.0
2019-04-02,1362.0
2019-04-03,1326.0
2019-04-04,1386.0
2019-04-05,1048.0
2019-04-06,1563.0
2019-04-07,1368.0
2019-04-08,1440.0
2019-04-09,1355.0
2019-04-10,1305.0
2019-04-11,1247.0
2019-04-12,922.0
2019-04-13,1263.0
2019-04-14,1322.0
2019-04-15,1284.0
2019-04-16,1219.0
2019-04-17,1235.0
2019-04-18,1370.0
2019-04-19,1041.0
2019-04-20,1239.0
2019-04-21,1238.0
2019-04-22,1102.0
2019-04-23,1165.0
2019-04-24,1207.0
2019-04-25,1257.0
2019-04-26,969.0
2019-04-27,1164.0
2019-04-28,1088.0
2019-04-29,1447.0
2019-04-30,1260.0
2019-05-01,1045.0
2019-05-02,1117.0
2019-05-03,917.0
2019-05-04,1385.0
2019-05-05,1118.0
2019-05-06,1246.0
2019-05-07,1034.0
2019-05-08,1051.0
2019-05-09,1083.0
2019-05-10,2244.0
2019-05-11,6124.0
2019-05-12,2795.0
2019-05-13,1939.0
2019-05-14,1763.0
2019-05-15,1679.0
2019-05-16,1541.0
2019-05-17,2474.0
2019-05-18,4661.0
2019-05-19,2427.0
2019-05-20,1472.0
2019-05-21,1390.0
2019-05-22,1321.0
2019-05-23,1539.0
2019-05-24,1577.0
2019-05-25,4262.0
2019-05-26,1932.0
2019-05-27,1340.0
2019-05-28,1264.0
2019-05-29,1228.0
2019-05-30,1274.0
2019-05-31,1968.0
2019-06-01,6200.0
2019-06-02,3125.0
2019-06-03,2355.0
2019-06-04,1885.0
2019-06-05,2586.0
2019-06-06,2060.0
2019-06-07,1882.0
2019-06-08,2017.0
2019-06-09,1798.0
2019-06-10,1615.0
2019-06-11,1631.0
2019-06-12,1525.0
2019-06-13,1636.0
2019-06-14,5610.0
2019-06-15,3088.0
2019-06-16,2191.0
2019-06-17,1867.0
2019-06-18,1772.0
2019-06-19,1761.0
2019-06-20,1766.0
2019-06-21,1429.0
2019-06-22,2242.0
2019-06-23,1579.0
2019-06-24,1488.0
2019-06-25,1467.0
2019-06-26,1395.0
2019-06-27,1548.0
2019-06-28,1744.0
2019-06-29,1724.0
2019-06-30,1496.0
2019-07-01,1474.0
2019-07-02,1395.0
2019-07-03,1625.0
2019-07-04,1471.0
2019-07-05,3084.0
2019-07-06,4922.0
2019-07-07,2301.0
2019-07-08,1767.0
2019-07-09,1806.0
2019-07-10,1688.0
2019-07-11,1566.0
2019-07-12,4080.0
2019-07-13,2530.0
2019-07-14,1784.0
2019-07-15,1433.0
2019-07-16,1432.0
2019-07-17,1517.0
2019-07-18,1399.0
2019-07-19,1121.0
2019-07-20,1350.0
2019-07-21,1241.0
2019-07-22,1269.0
2019-07-23,1296.0
2019-07-24,1304.0
2019-07-25,1221.0
2019-07-26,2538.0
2019-07-27,1548.0
2019-07-28,1358.0
2019-07-29,1274.0
2019-07-30,1466.0
2019-07-31,1212.0
2019-08-01,1219.0
2019-08-02,1024.0
2019-08-03,1305.0
2019-08-04,1179.0
2019-08-05,1059.0
2019-08-06,1049.0
2019-08-07,1067.0
2019-08-08,1076.0
2019-08-09,915.0
2019-08-10,1360.0
2019-08-11,850.0
2019-08-12,853.0
