Date,Comptes utilisateur actifs,Affichage
1 janv. 2019,4459,0
2 janv. 2019,2772,0
3 janv. 2019,2758,0
4 janv. 2019,2219,0
5 janv. 2019,2405,0
6 janv. 2019,2223,0
7 janv. 2019,2136,0
8 janv. 2019,2112,0
9 janv. 2019,2138,0
10 janv. 2019,2316,0
11 janv. 2019,2191,0
12 janv. 2019,4430,0
13 janv. 2019,3743,0
14 janv. 2019,2779,0
15 janv. 2019,2644,0
16 janv. 2019,2525,0
17 janv. 2019,2890,0
18 janv. 2019,2390,0
19 janv. 2019,3706,0
20 janv. 2019,3306,0
21 janv. 2019,2752,0
22 janv. 2019,2378,0
23 janv. 2019,2308,0
24 janv. 2019,2601,0
25 janv. 2019,2084,0
26 janv. 2019,3831,0
27 janv. 2019,2851,0
28 janv. 2019,2512,0
29 janv. 2019,2447,0
30 janv. 2019,3101,0
31 janv. 2019,2576,0
1 févr. 2019,1988,0
2 févr. 2019,3199,0
3 févr. 2019,2554,0
4 févr. 2019,2162,0
5 févr. 2019,2210,0
6 févr. 2019,2454,0
7 févr. 2019,2162,0
8 févr. 2019,1804,0
9 févr. 2019,2329,0
10 févr. 2019,2271,0
11 févr. 2019,2075,0
12 févr. 2019,2638,0
13 févr. 2019,2245,0
14 févr. 2019,2003,0
15 févr. 2019,1516,0
16 févr. 2019,1626,0
17 févr. 2019,1742,0
18 févr. 2019,1726,0
19 févr. 2019,1719,0
20 févr. 2019,1638,0
21 févr. 2019,1749,0
22 févr. 2019,1368,0
23 févr. 2019,2502,0
24 févr. 2019,1877,0
25 févr. 2019,1616,0
26 févr. 2019,1496,0
27 févr. 2019,1447,0
28 févr. 2019,1498,0
1 mars 2019,1000,0
2 mars 2019,1398,0
3 mars 2019,1163,0
4 mars 2019,1230,0
5 mars 2019,1289,0
6 mars 2019,1257,0
7 mars 2019,1302,0
8 mars 2019,862,0
9 mars 2019,1411,0
10 mars 2019,1352,0
11 mars 2019,1226,0
12 mars 2019,1192,0
13 mars 2019,1287,0
14 mars 2019,1229,0
15 mars 2019,835,0
16 mars 2019,1342,0
17 mars 2019,1301,0
18 mars 2019,1255,0
19 mars 2019,1219,0
20 mars 2019,1290,0
21 mars 2019,1223,0
22 mars 2019,890,0
23 mars 2019,1855,0
24 mars 2019,2326,0
25 mars 2019,1703,0
26 mars 2019,1567,0
27 mars 2019,1460,0
28 mars 2019,1415,0
29 mars 2019,1032,0
30 mars 2019,1532,0
31 mars 2019,1303,0
1 avr. 2019,1345,0
2 avr. 2019,1362,0
3 avr. 2019,1326,0
4 avr. 2019,1386,0
5 avr. 2019,1048,0
6 avr. 2019,1563,0
7 avr. 2019,1368,0
8 avr. 2019,1440,0
9 avr. 2019,1355,0
